N kg/d,עומק,קוד  קרקע,Krab_key_eng,YLD_Israel(1000T),Precip_Gilat,year
6.978425656,45.0,4,Watermelon,175.0,298.6,2003
11.63223301,60.0,2,Carrot,175.0,298.6,2003
15.51007147,60.0,2,Canola,175.0,298.6,2003
10.12810328,45.0,2,Watermelon,175.0,298.6,2003
9.19245283,60.0,2,Carrot,175.0,298.6,2003
10.19383698,45.0,2,Watermelon,175.0,298.6,2003
9.8355,45.0,2,Watermelon,175.0,298.6,2003
29.88576998,60.0,2,Potato,175.0,298.6,2003
4.266037736,30.0,2,Wheat,175.0,298.6,2003
8.442561576,45.0,4,Watermelon,175.0,298.6,2003
7.137666667,30.0,2,Watermelon,112.0,189.0,2004
2.857166667,30.0,2,Wheat,112.0,189.0,2004
4.103125,30.0,2,Wheat,112.0,189.0,2004
6.026125,30.0,2,Wheat,112.0,189.0,2004
4.10875,30.0,2,Wheat,112.0,189.0,2004
6.178846154,60.0,2,Wheat,112.0,189.0,2004
17.7205,45.0,2,Potato,112.0,189.0,2004
9.044383562,60.0,2,Wheat,112.0,189.0,2004
12.82178218,60.0,2,Wheat,112.0,189.0,2004
15.72759375,45.0,2,Pea,112.0,189.0,2004
5.76,45.0,2,Carrot,185.0,334.2,2005
8.514,45.0,2,Watermelon,185.0,334.2,2005
12.13735632,45.0,2,Watermelon,185.0,334.2,2005
9.264,60.0,2,Wheat,185.0,334.2,2005
15.8875,60.0,2,Watermelon,185.0,334.2,2005
8.91,30.0,2,Sunflower,185.0,334.2,2005
3.87,30.0,1,Fallow,185.0,334.2,2005
14.85,45.0,1,Watermelon,185.0,334.2,2005
3.786614173,30.0,2,Wheat,185.0,334.2,2005
3.558935361,30.0,2,Wheat,185.0,334.2,2005
8.722416667,60.0,2,Carrot,115.0,208.7,2006
7.773140625,45.0,1,Watermelon,115.0,208.7,2006
6.900857143,45.0,3,Chickpea,115.0,208.7,2006
19.2790625,45.0,2,Watermelon,115.0,208.7,2006
17.05532143,45.0,3,Vetch,115.0,208.7,2006
14.8344375,45.0,3,Vetch,115.0,208.7,2006
7.478625,30.0,2,Wheat,115.0,208.7,2006
5.583139408,30.0,2,Wheat,115.0,208.7,2006
11.5115,45.0,2,Chickpea,115.0,208.7,2006
13.79559375,45.0,2,Pea,115.0,208.7,2006
16.04953125,45.0,3,Vetch,130.0,214.9,2007
3.283,30.0,2,Wheat,130.0,214.9,2007
8.5365,30.0,2,Watermelon,130.0,214.9,2007
29.72783333,60.0,2,Potato,130.0,214.9,2007
18.80783333,60.0,2,Potato,130.0,214.9,2007
11.84091667,60.0,2,Wheat,130.0,214.9,2007
11.43083333,30.0,2,Chickpea,130.0,214.9,2007
29.25,60.0,2,Potato,130.0,214.9,2007
19.97325,60.0,2,Potato,130.0,214.9,2007
19.15375,60.0,2,Onion,130.0,214.9,2007
